,code,land_zone,air_zone,country_en
6,AT,1,1,AUSTRIA
11,BE,2,2,BELGIUM
29,HR,1,1,CROATIA
31,CY,1,2,CYPRUS
32,CZ,1,1,CZECH
33,DK,2,2,DENMARK
40,EE,3,3,ESTONIA
41,FO,4,3,FAROE ISLANDS
43,FI,3,2,FINLAND
44,FR,2,2,FRANCE ( Corsica )
46,DE,2,2,GERMANY
48,GI,3,2,GIBRALTAR
49,GR,1,1,GREECE
58,HU,2,2,HUNGARY
63,IE,3,2,IRELAND
64,IM,4,3,ISLE OF MAN
66,IT,2,2,ITALY 
79,LU,1,1,LUXEMBOURG
85,MT,4,3,MALTА
104,PL,2,2,POLAND
105,PT,3,2,PORTUGAL
108,RO,2,2,ROMANIA
113,SK,1,1,SLOVAKIA
114,SI,1,1,SLOVENIA
117,SE,3,2,SWEDEN
121,ES,3,2,"Spain  (Incl. Balearic Isls, Canary Isls, Ceuta and Melila)"
124,NL,2,2,THE NETHERLANDS
130,GB,4,3,UNITED KINGDOM OF GREAT BRITAIN  and NORTHERN IRELAND
